# KIC10285661_morp_0.79_T0_55002.038068_P_0.3082916, none
# name, value
id,KIC10285661_morp_0.79_T0_55002.038068_P_0.3082916,target identifier
stage,  9,furthest stage the analysis reached
t_tot,1238.623837149702,total time base of observations in days
t_mean,2455768.704532715,time series mean time reference point
period,0.3082916000000044,orbital period in days
p_err,2.909604508859293e-08,error in the orbital period
p_err_l,-1.0,lower HDI error estimate in period
p_err_u,-1.0,upper HDI error estimate in period
n_param_prew,701.0,number of free parameters after the prewhitening phase
bic_prew,-448092.2080875918,BIC after the prewhitening phase
noise_level_prew,0.001060599791525195,noise level after the prewhitening phase
t_1,0.36312655685216205,time of primary minimum with respect to the mean time
t_2,0.5181055157343232,time of secondary minimum with respect to the mean time
t_1_1,0.2864253798205839,time of primary first contact with respect to the mean time
t_1_2,0.44236620945661576,time of primary last contact with respect to the mean time
t_2_1,0.4424611633643697,time of secondary first contact with respect to the mean time
t_2_2,0.5942640990073075,time of secondary last contact with respect to the mean time
t_b_1_1,0.36312655685216205,start of (flat) eclipse bottom left of primary minimum
t_b_1_2,0.36312655685216205,end of (flat) eclipse bottom right of primary minimum
t_b_2_1,0.5181055157343232,start of (flat) eclipse bottom left of secondary minimum
t_b_2_2,0.5181055157343232,end of (flat) eclipse bottom right of secondary minimum
depth_1,0.07349498360566747,depth of primary minimum
depth_2,0.06496501889646779,depth of secondary minimum
t_1_err,1.1149949287831076e-05,error in time of primary minimum (t_1)
t_2_err,0.00013450708177298017,error in time of secondary minimum (t_2)
t_1_1_err,1.610849118714967e-05,error in time of primary first contact (t_1_1)
t_1_2_err,1.5420829684499484e-05,error in time of primary last contact (t_1_2)
t_2_1_err,1.6539711503102053e-05,error in time of secondary first contact (t_2_1)
t_2_2_err,0.000268505229244659,error in time of secondary last contact (t_2_2)
t_b_1_1_err,1.610849118714967e-05,error in start of (flat) eclipse bottom left of primary minimum
t_b_1_2_err,1.5420829684499484e-05,error in end of (flat) eclipse bottom right of primary minimum
t_b_2_1_err,1.6539711503102053e-05,error in start of (flat) eclipse bottom left of secondary minimum
t_b_2_2_err,0.000268505229244659,error in end of (flat) eclipse bottom right of secondary minimum
d_1_err,2.049237056899023e-05,error in depth of primary minimum
d_2_err,2.049237056899023e-05,error in depth of secondary minimum
t_1_ind_err,0.00035345076262168466,individual error in time of primary minimum (t_1)
t_2_ind_err,0.0042638427676584606,individual error in time of secondary minimum (t_2)
t_1_1_ind_err,0.0005106353713192776,individual error in time of primary first contact (t_1_1)
t_1_2_ind_err,0.0004888366638755991,individual error in time of primary last contact (t_1_2)
t_2_1_ind_err,0.0005243049536282912,individual error in time of secondary first contact (t_2_1)
t_2_2_ind_err,0.008511552438001795,individual error in time of secondary last contact (t_2_2)
t_b_1_1_ind_err,0.00048791339292308966,individual error in start of (flat) eclipse bottom left of primary minimum
t_b_1_2_ind_err,0.00048791339292308966,individual error in end of (flat) eclipse bottom right of primary minimum
t_b_2_1_ind_err,0.0005243049536282912,individual error in start of (flat) eclipse bottom left of secondary minimum
t_b_2_2_ind_err,0.0005243049536282912,individual error in end of (flat) eclipse bottom right of secondary minimum
d_1_ind_err,0.001298964155269471,individual error in depth of primary minimum
d_2_ind_err,0.001298964155269471,individual error in depth of secondary minimum
ecosw_form,0.004244150476690592,e*cos(w) from timing formulae
esinw_form,-0.021083331515767446,e*sin(w) from timing formulae
cosi_form,0.5914741293978149,cosine of inclination from timing formulae
phi_0_form,1.6627697050569512,phi_0 angle (Kopal 1959) from timing formulae
log_rr_form,0.5765288622032662,logarithm of the radius ratio r2/r1 from timing formulae
log_sb_form,-0.06559626540772717,logarithm of the surface brightness ratio sb2/sb1 from timing formulae
e_form,0.02150627073838107,eccentricity from timing formulae
w_form,4.911037684344926,argument of periastron (radians) from timing formulae
i_form,0.9379104994374532,inclination (radians) from timing formulae
r_sum_form,0.9967928474368878,sum of radii divided by the semi-major axis of the relative orbit from timing formulae
r_rat_form,3.771628095434473,radius ratio r2/r1 from timing formulae
sb_rat_form,0.8598124603428768,surface brightness ratio sb2/sb1 from timing formulae
ecosw_sig,0.012272016633233823,formal uncorrelated error in ecosw
esinw_sig,1.442715944507972e-05,formal uncorrelated error in esinw
cosi_sig,0.034992854604336196,error estimate for cosi used for formal errors
phi_0_sig,0.0013753726105077246,formal uncorrelated error in phi_0
log_rr_sig,0.0017096679139161186,scaled error formal estimate for log_rr
log_sb_sig,0.028764447590090902,scaled formal error estimate for log_sb
e_sig,0.002421859840551855,formal uncorrelated error in e
w_sig,0.559403227319588,formal uncorrelated error in w
i_sig,0.035,error estimate for i used for formal errors
r_sum_sig,0.00010418061540525748,formal uncorrelated error in r_sum
r_rat_sig,0.011184577149088907,scaled error formal estimate for r_rat
sb_rat_sig,0.37703412380434675,scaled error formal estimate for sb_rat
ecosw_low,0.012272016633233823,lower error estimate in ecosw
ecosw_upp,0.012272016633233823,upper error estimate in ecosw
esinw_low,0.001409182782771471,lower error estimate in esinw
esinw_upp,0.0012500993290054802,upper error estimate in esinw
cosi_low,0.5914741293978149,lower error estimate in cosi
